Pitch (MIDI);Time (s);Intensity;Time Diff (s);Intensity_change;Pitch_change_umbrale
57;8.328809738;0.058051478;0.270771742;0.936425209;SAME PITCH
57;8.357891798;0.116134636;0.02908206;2.00054574;NEW PITCH
57;8.379077673;0.07650546;0.021185875;0.658765197;SAME PITCH
57;8.399053097;0.08651196;0.019975424;1.130794644;SAME PITCH
57;8.428779364;0.1150577;0.029726267;1.32996285;SAME PITCH
57;8.448791742;0.1379731;0.020012379;1.199164391;SAME PITCH
57;8.468635082;0.13920736;0.01984334;1.008945704;SAME PITCH
57;8.499355078;0.1370405;0.030719995;0.984434247;SAME PITCH
57;8.519151449;0.15041286;0.019796371;1.097579598;SAME PITCH
57;8.538889647;0.14405791;0.019738197;0.957750022;SAME PITCH
57;8.569124222;0.13743407;0.030234575;0.954019547;SAME PITCH
57;8.589307308;0.13350023;0.020183086;0.971376598;SAME PITCH
57;8.609176874;0.12565915;0.019869566;0.941265404;SAME PITCH
57;8.638953209;0.11945929;0.029776335;0.950661242;SAME PITCH
57;8.659342051;0.11170701;0.020388842;0.935105264;SAME PITCH
57;8.679335594;0.111863635;0.019993544;1.00140214;SAME PITCH
57;8.709065437;0.11326825;0.029729843;1.012556434;SAME PITCH
57;8.729018927;0.10693717;0.019953489;0.944105446;SAME PITCH
57;8.746489048;0.10477517;0.017470121;0.979782522;SAME PITCH
57;8.77895093;0.1036412;0.032461882;0.989177108;SAME PITCH
57;8.799139023;0.19238305;0.020188093;1.856241107;SAME PITCH
46;8.818871737;0.20806727;0.019732714;1.081526041;SAME PITCH
65;8.84937501;0.19887143;0.030503273;0.955803573;SAME PITCH
65;8.871088505;0.19711965;0.021713495;0.991191387;SAME PITCH
65;8.888978004;0.19508836;0.0178895;0.989695132;SAME PITCH
46;8.918974876;0.20249793;0.029996872;1.037980556;SAME PITCH
46;8.938771725;0.19916981;0.019796848;0.983564675;SAME PITCH
46;8.959065199;0.20831332;0.020293474;1.045908093;SAME PITCH
46;8.979198217;0.2193987;0.020133018;1.053215027;SAME PITCH
46;9.007812738;0.21084994;0.028614521;0.96103549;SAME PITCH
46;9.029173136;0.21042143;0.021360397;0.99796766;SAME PITCH
46;9.049401045;0.21563506;0.020227909;1.024777055;SAME PITCH
46;9.079446793;0.20806128;0.030045748;0.964876831;SAME PITCH
46;9.098799229;0.20813818;0.019352436;1.000369668;SAME PITCH
46;9.119228125;0.20076163;0.020428896;0.964559376;SAME PITCH
46;9.149019718;0.19348934;0.029791594;0.963776529;SAME PITCH
46;9.168893814;0.18574129;0.019874096;0.959956169;SAME PITCH
46;9.188976288;0.17284377;0.020082474;0.9305619;SAME PITCH
46;9.218735695;0.20096862;0.029759407;1.162718415;SAME PITCH
65;9.238734007;0.20789297;0.019998312;1.034454823;SAME PITCH
64;9.258718967;0.21399213;0.019984961;1.029338002;SAME PITCH
64;9.288705826;0.21669473;0.029986858;1.01262939;SAME PITCH
64;9.307786703;0.20045011;0.019080877;0.925034523;SAME PITCH
