Pitch (MIDI),Time (s),Intensity,Tag
55.0,1.0792655944824219,0.02360165,Suspicious
43.0,1.112365484237671,0.020991474,Suspicious
43.0,1.1297452449798584,0.021383423,Suspicious
55.0,1.1447434425354004,0.048365854,Suspicious
55.0,1.1788852214813232,0.07304166,OK
55.0,1.1994068622589111,0.058269907,OK
55.0,1.2193922996520996,0.061286997,OK
55.0,1.252303123474121,0.043520976,Suspicious
55.0,1.272247076034546,0.02972292,Suspicious
55.0,1.2921943664550781,0.028737312,Suspicious
55.0,1.3221137523651123,0.019582469,Suspicious
55.0,1.3410632610321045,0.011909646,Suspicious
55.0,1.3620071411132812,0.0112900175,Suspicious
55.0,1.3919272422790527,0.007788652,Suspicious
55.0,1.4118740558624268,0.0061908383,Suspicious
55.0,1.4318194389343262,0.0043943673,Suspicious
55.0,1.5019900798797607,0.0045133727,Suspicious
55.0,1.5219929218292236,0.005584607,Suspicious
55.0,1.5530807971954346,0.009015226,Suspicious
55.0,1.5720808506011963,0.006935409,Suspicious
55.0,1.5920586585998535,0.0051110713,Suspicious
55.0,1.6223907470703125,0.003972465,Suspicious
55.0,1.6424002647399902,0.0032192534,Suspicious
43.0,1.8519270420074463,0.013330532,Suspicious
57.0,1.8719136714935303,0.06048476,OK
57.0,1.8983545303344727,0.08309715,OK
57.0,1.9223213195800781,0.0645643,OK
57.0,1.9425768852233887,0.042970296,Suspicious
57.0,1.9727888107299805,0.042664915,Suspicious
57.0,1.992006778717041,0.03051181,Suspicious
57.0,2.0083112716674805,0.015879212,Suspicious
57.0,2.0385053157806396,0.0111947255,Suspicious
57.0,2.057810068130493,0.00929139,Suspicious
57.0,2.077805519104004,0.006623436,Suspicious
57.0,2.110381841659546,0.0056123394,Suspicious
57.0,2.132478952407837,0.004114435,Suspicious
57.0,2.1521952152252197,0.004879901,Suspicious
57.0,2.182194232940674,0.0033298964,Suspicious
45.0,2.221858263015747,0.005493181,Suspicious
55.0,2.2381746768951416,0.0071020173,Suspicious
55.0,2.2721753120422363,0.007657659,Suspicious
55.0,2.2921745777130127,0.006239023,Suspicious
43.0,2.3100674152374268,0.0051707616,Suspicious
43.0,2.3374125957489014,0.0038883176,Suspicious
53.0,2.692294120788574,0.0032317261,Suspicious
53.0,2.7103209495544434,0.0034004035,Suspicious
48.0,3.292083978652954,0.005297801,Suspicious
48.0,3.311601400375366,0.013411572,Suspicious
48.0,3.3378429412841797,0.021318179,Suspicious
48.0,3.362600803375244,0.022370474,Suspicious
48.0,3.377821207046509,0.022300677,Suspicious
48.0,3.412574052810669,0.02326609,Suspicious
48.0,3.431748390197754,0.018611101,Suspicious
48.0,3.4484362602233887,0.016507667,Suspicious
48.0,3.482722520828247,0.015140799,Suspicious
48.0,3.4979493618011475,0.0135803595,Suspicious
48.0,3.5215835571289062,0.012958566,Suspicious
48.0,3.5524513721466064,0.010664657,Suspicious
48.0,3.5724403858184814,0.0084047,Suspicious
48.0,3.592674732208252,0.005531235,Suspicious
48.0,3.612194299697876,0.0040606046,Suspicious
48.0,3.64241361618042,0.0036616744,Suspicious
62.0,3.962512254714966,0.008545328,Suspicious
55.0,3.9924962520599365,0.024062794,Suspicious
55.0,4.0124852657318115,0.022384843,Suspicious
55.0,4.031368732452393,0.013658634,Suspicious
55.0,4.062161207199097,0.007026374,Suspicious
55.0,4.082156181335449,0.004612564,Suspicious
55.0,4.097147464752197,0.0033903937,Suspicious
74.0,4.681997299194336,0.07066321,OK
74.0,4.711965799331665,0.13810186,OK
52.0,4.728647232055664,0.13062659,OK
52.0,4.748636722564697,0.14385304,OK
52.0,4.778618574142456,0.13528837,OK
52.0,4.798607587814331,0.108301,OK
52.0,4.81860613822937,0.12690982,OK
52.0,4.848810434341431,0.10618499,OK
52.0,4.868568420410156,0.09877325,OK
52.0,4.888556241989136,0.11058031,OK
52.0,4.918785095214844,0.08862358,OK
52.0,4.938765287399292,0.07263543,OK
52.0,4.958986520767212,0.0795146,OK
52.0,4.978978395462036,0.07697174,OK
52.0,5.012966871261597,0.0633942,OK
52.0,5.029164791107178,0.09582272,OK
52.0,5.049144506454468,0.111388355,OK
52.0,5.079137086868286,0.09721077,OK
52.0,5.099122762680054,0.11094069,OK
52.0,5.1220128536224365,0.09049966,OK
52.0,5.1521897315979,0.07623879,OK
52.0,5.172377109527588,0.05552759,OK
52.0,5.19237208366394,0.050253663,OK
52.0,5.219113349914551,0.049050573,Suspicious
52.0,5.239080429077148,0.040131863,Suspicious
52.0,5.259305477142334,0.03072249,Suspicious
52.0,5.289251804351807,0.034713782,Suspicious
52.0,5.309276819229126,0.031782277,Suspicious
52.0,5.330482006072998,0.02664168,Suspicious
52.0,5.360264539718628,0.025137892,Suspicious
52.0,5.380406141281128,0.04347218,Suspicious
52.0,5.398425340652466,0.055314325,OK
52.0,5.429149150848389,0.05304587,OK
52.0,5.449372291564941,0.050631214,OK
43.0,5.469364404678345,0.057590596,OK
52.0,5.502159118652344,0.06615228,OK
52.0,5.51963472366333,0.04934185,Suspicious
52.0,5.539610862731934,0.030335348,Suspicious
52.0,5.569828033447266,0.024737796,Suspicious
33.0,5.589812755584717,0.022510918,Suspicious
33.0,5.6098103523254395,0.018615492,Suspicious
33.0,5.6300437450408936,0.01688938,Suspicious
33.0,5.660029411315918,0.027383683,Suspicious
52.0,5.679672718048096,0.03361856,Suspicious
52.0,5.699659585952759,0.027009448,Suspicious
43.0,5.731698513031006,0.018687254,Suspicious
