Pitch (MIDI),Time (s),Intensity,Time Diff (s),Intensity_change,Pitch_change_umbrale
73.0,0.0,0.087582566,,,
61.0,0.05623602867126465,0.083829015,0.05623602867126465,0.9571427222473791,SAME PITCH
75.0,0.09756612777709961,0.08953403,0.04133009910583496,1.0680553913116455,SAME PITCH
73.0,0.10756134986877441,0.090720914,0.009995222091674805,1.0132561922073364,SAME PITCH
61.0,0.10756134986877441,0.13163684,0.0,1.4510087966918945,SAME PITCH
71.0,0.1125938892364502,0.1352734,0.005032539367675781,1.0276256799697876,SAME PITCH
50.0,0.11755704879760742,0.109642245,0.0049631595611572266,0.8105233311653137,SAME PITCH
50.0,0.12255144119262695,0.07295437,0.004994392395019531,0.6653856039047241,SAME PITCH
50.0,0.13933849334716797,0.070915386,0.016787052154541016,0.972051203250885,SAME PITCH
50.0,0.1593327522277832,0.05197157,0.019994258880615234,0.7328673005104065,SAME PITCH
50.0,0.3710484504699707,0.06410944,0.2117156982421875,1.2335481643676758,SAME PITCH
55.0,0.4034154415130615,0.12852924,0.03236699104309082,2.0048410892486572,NEW PITCH
43.0,0.4234046936035156,0.120707996,0.0199892520904541,0.9391481876373291,SAME PITCH
43.0,0.4409961700439453,0.12760274,0.017591476440429688,1.0571192502975464,SAME PITCH
55.0,0.4710090160369873,0.16340157,0.030012845993041992,1.2805490493774414,SAME PITCH
55.0,0.49095773696899414,0.16806221,0.019948720932006836,1.0285226106643677,SAME PITCH
55.0,0.5109868049621582,0.16413511,0.020029067993164062,0.9766330718994141,SAME PITCH
55.0,0.5410192012786865,0.17596042,0.03003239631652832,1.072046160697937,SAME PITCH
55.0,0.560962438583374,0.19883071,0.0199432373046875,1.1299740076065063,SAME PITCH
55.0,0.5809898376464844,0.19204056,0.02002739906311035,0.9658496379852295,SAME PITCH
55.0,0.6109743118286133,0.18460324,0.029984474182128906,0.961272120475769,SAME PITCH
55.0,0.6309287548065186,0.17803569,0.019954442977905273,0.964423418045044,SAME PITCH
55.0,0.6508355140686035,0.18810925,0.01990675926208496,1.0565816164016724,SAME PITCH
55.0,0.6807811260223389,0.20297937,0.02994561195373535,1.0790504217147827,SAME PITCH
55.0,0.7007741928100586,0.14520162,0.019993066787719727,0.7153516411781311,SAME PITCH
55.0,0.7207632064819336,0.09889488,0.019989013671875,0.6810865998268127,SAME PITCH
55.0,0.7507495880126953,0.16677383,0.02998638153076172,1.6863747835159302,SAME PITCH
55.0,0.7707843780517578,0.16396432,0.0200347900390625,0.983153760433197,SAME PITCH
55.0,0.79073166847229,0.16438004,0.019947290420532227,1.0025354623794556,SAME PITCH
55.0,0.8107175827026367,0.14915454,0.01998591423034668,0.907376229763031,SAME PITCH
55.0,0.840766429901123,0.14636992,0.030048847198486328,0.9813306331634521,SAME PITCH
55.0,0.860734224319458,0.12881485,0.01996779441833496,0.8800636529922485,SAME PITCH
55.0,0.8807611465454102,0.115151964,0.02002692222595215,0.8939339518547058,SAME PITCH
55.0,0.9107470512390137,0.09386084,0.029985904693603516,0.8151041269302368,SAME PITCH
55.0,0.9306976795196533,0.07131871,0.01995062828063965,0.7598345279693604,SAME PITCH
55.0,0.9507613182067871,0.05537563,0.02006363868713379,0.7764530181884766,SAME PITCH
55.0,0.9807484149932861,0.06666673,0.029987096786499023,1.2039002180099487,SAME PITCH
55.0,1.1203103065490723,0.07304166,0.13956189155578613,1.0956238508224487,SAME PITCH
55.0,1.1408319473266602,0.058269907,0.02052164077758789,0.7977625727653503,SAME PITCH
55.0,1.1608173847198486,0.061286997,0.019985437393188477,1.0517778396606445,SAME PITCH
57.0,1.8133387565612793,0.06048476,0.6525213718414307,0.9869101643562317,SAME PITCH
57.0,1.8397796154022217,0.08309715,0.026440858840942383,1.3738527297973633,SAME PITCH
57.0,1.8637464046478271,0.0645643,0.02396678924560547,0.7769737243652344,SAME PITCH
74.0,4.623422384262085,0.07066321,2.759675979614258,1.094462513923645,SAME PITCH
74.0,4.653390884399414,0.13810186,0.0299685001373291,1.9543672800064087,SAME PITCH
52.0,4.670072317123413,0.13062659,0.016681432723999023,0.9458712935447693,SAME PITCH
52.0,4.690061807632446,0.14385304,0.019989490509033203,1.101253867149353,SAME PITCH
52.0,4.720043659210205,0.13528837,0.02998185157775879,0.9404624104499817,SAME PITCH
52.0,4.74003267288208,0.108301,0.019989013671875,0.8005196452140808,SAME PITCH
52.0,4.760031223297119,0.12690982,0.019998550415039062,1.1718250513076782,SAME PITCH
52.0,4.79023551940918,0.10618499,0.030204296112060547,0.8366963863372803,SAME PITCH
52.0,4.809993505477905,0.09877325,0.019757986068725586,0.9301997423171997,SAME PITCH
52.0,4.829981327056885,0.11058031,0.019987821578979492,1.1195369958877563,SAME PITCH
52.0,4.860210180282593,0.08862358,0.030228853225708008,0.8014408946037292,SAME PITCH
52.0,4.880190372467041,0.07263543,0.019980192184448242,0.8195948004722595,SAME PITCH
52.0,4.900411605834961,0.0795146,0.020221233367919922,1.0947082042694092,SAME PITCH
52.0,4.920403480529785,0.07697174,0.01999187469482422,0.9680202007293701,SAME PITCH
52.0,4.954391956329346,0.0633942,0.03398847579956055,0.8236035108566284,SAME PITCH
52.0,4.970589876174927,0.09582272,0.016197919845581055,1.511537790298462,SAME PITCH
52.0,4.990569591522217,0.111388355,0.01997971534729004,1.1624419689178467,SAME PITCH
52.0,5.020562171936035,0.09721077,0.02999258041381836,0.8727193474769592,SAME PITCH
52.0,5.040547847747803,0.11094069,0.019985675811767578,1.1412385702133179,SAME PITCH
52.0,5.0634379386901855,0.09049966,0.022890090942382812,0.8157481551170349,SAME PITCH
52.0,5.093614816665649,0.07623879,0.030176877975463867,0.8424206972122192,SAME PITCH
52.0,5.113802194595337,0.05552759,0.0201873779296875,0.7283377647399902,SAME PITCH
52.0,5.1337971687316895,0.050253663,0.01999497413635254,0.9050214886665344,SAME PITCH
52.0,5.339850425720215,0.055314325,0.2060532569885254,1.1007022857666016,SAME PITCH
52.0,5.370574235916138,0.05304587,0.03072381019592285,0.9589897394180298,SAME PITCH
52.0,5.39079737663269,0.050631214,0.020223140716552734,0.9544798731803894,SAME PITCH
43.0,5.410789489746094,0.057590596,0.01999211311340332,1.1374523639678955,SAME PITCH
52.0,5.443584203720093,0.06615228,0.03279471397399902,1.1486645936965942,SAME PITCH
69.0,6.091952085494995,0.1356877,0.6483678817749023,2.0511415004730225,NEW PITCH
69.0,6.11186408996582,0.14444438,0.019912004470825195,1.0645356178283691,SAME PITCH
44.0,6.132094621658325,0.12996969,0.020230531692504883,0.8997905850410461,SAME PITCH
69.0,6.162861108779907,0.10010492,0.03076648712158203,0.7702174782752991,SAME PITCH
69.0,6.17943000793457,0.086027816,0.016568899154663086,0.8593764901161194,SAME PITCH
69.0,6.199414491653442,0.073170215,0.01998448371887207,0.850541353225708,SAME PITCH
69.0,6.2336461544036865,0.055261835,0.03423166275024414,0.7552503943443298,SAME PITCH
52.0,6.393755197525024,0.066557735,0.1601090431213379,1.2044068574905396,SAME PITCH
52.0,6.4137489795684814,0.062671155,0.01999378204345703,0.9416058659553528,SAME PITCH
52.0,6.433759689331055,0.07304888,0.020010709762573242,1.1655901670455933,SAME PITCH
52.0,6.4636452198028564,0.07884707,0.029885530471801758,1.079374074935913,SAME PITCH
52.0,6.483758926391602,0.057154816,0.020113706588745117,0.7248818874359131,SAME PITCH
52.0,6.503814220428467,0.053159367,0.020055294036865234,0.930094301700592,SAME PITCH
52.0,6.833793640136719,0.056240663,0.32997941970825195,1.0579633712768555,SAME PITCH
52.0,6.854025840759277,0.058314797,0.020232200622558594,1.0368796586990356,SAME PITCH
69.0,7.4993369579315186,0.08017378,0.6453111171722412,1.3748445510864258,SAME PITCH
69.0,7.534157752990723,0.072604604,0.0348207950592041,0.9055903553962708,SAME PITCH
69.0,7.551958799362183,0.09027195,0.01780104637145996,1.2433364391326904,SAME PITCH
40.0,7.5694825649261475,0.10896564,0.017523765563964844,1.207081913948059,SAME PITCH
69.0,7.599683523178101,0.09955933,0.030200958251953125,0.9136763215065002,SAME PITCH
69.0,7.623688459396362,0.08169383,0.02400493621826172,0.8205541968345642,SAME PITCH
69.0,7.643701791763306,0.09021583,0.02001333236694336,1.1043163537979126,SAME PITCH
69.0,7.658947706222534,0.09084269,0.015245914459228516,1.0069483518600464,SAME PITCH
48.0,7.694126844406128,0.068236455,0.03517913818359375,0.7511496543884277,SAME PITCH
48.0,7.713812351226807,0.052528325,0.01968550682067871,0.7697985768318176,SAME PITCH
48.0,7.729860067367554,0.065186426,0.01604771614074707,1.2409766912460327,SAME PITCH
48.0,7.763602256774902,0.06739079,0.03374218940734863,1.0338163375854492,SAME PITCH
48.0,7.782599925994873,0.06549577,0.018997669219970703,0.9718800783157349,SAME PITCH
48.0,7.801512002944946,0.10150615,0.018912076950073242,1.5498124361038208,SAME PITCH
36.0,7.834282398223877,0.12057008,0.032770395278930664,1.1878105401992798,SAME PITCH
36.0,7.849501848220825,0.13686198,0.015219449996948242,1.1351239681243896,SAME PITCH
55.0,7.870541572570801,0.13415752,0.021039724349975586,0.9802395105361938,SAME PITCH
36.0,7.9007251262664795,0.13272138,0.03018355369567871,0.9892950654029846,SAME PITCH
36.0,7.92070746421814,0.12696002,0.019982337951660156,0.9565905928611755,SAME PITCH
55.0,7.940695524215698,0.11649325,0.019988059997558594,0.917558491230011,SAME PITCH
36.0,7.970442771911621,0.11296584,0.02974724769592285,0.9697200655937195,SAME PITCH
36.0,7.990671396255493,0.11156837,0.02022862434387207,0.9876292943954468,SAME PITCH
55.0,8.013506412506104,0.101856425,0.02283501625061035,0.9129507541656494,SAME PITCH
55.0,8.043598651885986,0.091800064,0.030092239379882812,0.901269257068634,SAME PITCH
55.0,8.063712358474731,0.09210489,0.020113706588745117,1.003320574760437,SAME PITCH
55.0,8.083688974380493,0.084091574,0.01997661590576172,0.9129979610443115,SAME PITCH
55.0,8.111695766448975,0.08619404,0.028006792068481445,1.025002121925354,SAME PITCH
55.0,8.131864786148071,0.07765968,0.02016901969909668,0.9009866714477539,SAME PITCH
55.0,8.151821374893188,0.08671555,0.019956588745117188,1.1166096925735474,SAME PITCH
43.0,8.180850744247437,0.093393624,0.029029369354248047,1.077011227607727,SAME PITCH
43.0,8.200862169265747,0.09430888,0.020011425018310547,1.0098000764846802,SAME PITCH
43.0,8.220844030380249,0.10129684,0.019981861114501953,1.0740965604782104,SAME PITCH
43.0,8.250816106796265,0.07682636,0.029972076416015625,0.7584279775619507,SAME PITCH
43.0,8.271132707595825,0.053280372,0.020316600799560547,0.6935168504714966,SAME PITCH
43.0,8.503780841827393,0.05465513,0.23264813423156738,1.0258023738861084,SAME PITCH
50.0,8.523764848709106,0.1149228,0.019984006881713867,2.1026899814605713,NEW PITCH
50.0,8.55375051498413,0.13540837,0.029985666275024414,1.1782550811767578,SAME PITCH
50.0,8.572006464004517,0.118517146,0.018255949020385742,0.875257134437561,SAME PITCH
50.0,8.59173583984375,0.11378003,0.0197293758392334,0.9600301384925842,SAME PITCH
50.0,8.62205696105957,0.09401923,0.030321121215820312,0.8263245224952698,SAME PITCH
50.0,8.639197587966919,0.101026386,0.017140626907348633,1.0745290517807007,SAME PITCH
50.0,8.659353733062744,0.098193325,0.020156145095825195,0.9719572067260742,SAME PITCH
50.0,8.691664457321167,0.091791555,0.03231072425842285,0.9348044395446777,SAME PITCH
50.0,8.711762189865112,0.08792882,0.020097732543945312,0.9579183459281921,SAME PITCH
50.0,8.734167575836182,0.08119395,0.022405385971069336,0.9234054088592529,SAME PITCH
50.0,8.759356021881104,0.08218982,0.025188446044921875,1.0122653245925903,SAME PITCH
50.0,8.782576322555542,0.06872166,0.023220300674438477,0.8361334800720215,SAME PITCH
50.0,8.80160927772522,0.056795992,0.019032955169677734,0.8264642357826233,SAME PITCH
50.0,8.853923559188843,0.108709306,0.05231428146362305,1.9140312671661377,SAME PITCH
69.0,8.874033212661743,0.15070055,0.02010965347290039,1.3862709999084473,SAME PITCH
69.0,8.897588968276978,0.14837782,0.023555755615234375,0.9845870733261108,SAME PITCH
69.0,8.921099662780762,0.14968486,0.02351069450378418,1.0088088512420654,SAME PITCH
69.0,8.939148664474487,0.15869254,0.018049001693725586,1.0601775646209717,SAME PITCH
69.0,8.972223043441772,0.16100338,0.033074378967285156,1.0145617723464966,SAME PITCH
69.0,8.99409818649292,0.16860206,0.02187514305114746,1.0471957921981812,SAME PITCH
69.0,9.00953221321106,0.1643385,0.015434026718139648,0.9747122526168823,SAME PITCH
69.0,9.034293174743652,0.15893099,0.024760961532592773,0.9670952558517456,SAME PITCH
68.0,9.062674045562744,0.16054812,0.028380870819091797,1.010175108909607,SAME PITCH
68.0,9.083890199661255,0.1455123,0.021216154098510742,0.9063469171524048,SAME PITCH
68.0,9.101946353912354,0.12821609,0.018056154251098633,0.8811357617378235,SAME PITCH
68.0,9.131484746932983,0.117085055,0.029538393020629883,0.9131853580474854,SAME PITCH
68.0,9.146443128585815,0.12404992,0.014958381652832031,1.0594854354858398,SAME PITCH
68.0,9.172502279281616,0.12924254,0.02605915069580078,1.0418591499328613,SAME PITCH
48.0,9.201596021652222,0.10514622,0.02909374237060547,0.8135573863983154,SAME PITCH
48.0,9.221548318862915,0.10503269,0.01995229721069336,0.9989202618598938,SAME PITCH
48.0,9.241538524627686,0.0963835,0.019990205764770508,0.9176523685455322,SAME PITCH
48.0,9.272624492645264,0.09078918,0.031085968017578125,0.9419577121734619,SAME PITCH
48.0,9.29166555404663,0.08073643,0.019041061401367188,0.8892737030982971,SAME PITCH
48.0,9.311653852462769,0.088757515,0.019988298416137695,1.099349021911621,SAME PITCH
48.0,9.341578483581543,0.07274538,0.029924631118774414,0.8195968866348267,SAME PITCH
48.0,9.362866640090942,0.07166579,0.021288156509399414,0.9851593375205994,SAME PITCH
48.0,9.382853507995605,0.06462897,0.019986867904663086,0.9018106460571289,SAME PITCH
48.0,9.413592100143433,0.05307584,0.03073859214782715,0.8212390542030334,SAME PITCH
81.0,10.271668672561646,0.11926015,0.8580765724182129,2.246976137161255,NEW PITCH
53.0,10.291272401809692,0.13841939,0.019603729248046875,1.1606508493423462,SAME PITCH
53.0,10.311396598815918,0.14294215,0.020124197006225586,1.0326743125915527,SAME PITCH
53.0,10.33135199546814,0.14568229,0.01995539665222168,1.019169569015503,SAME PITCH
53.0,10.361574172973633,0.13086686,0.030222177505493164,0.8983030915260315,SAME PITCH
53.0,10.38162088394165,0.13503024,0.020046710968017578,1.0318138599395752,SAME PITCH
53.0,10.401680946350098,0.13994159,0.020060062408447266,1.036372184753418,SAME PITCH
53.0,10.431626558303833,0.13841064,0.02994561195373535,0.98906010389328,SAME PITCH
53.0,10.451616525650024,0.15036124,0.019989967346191406,1.0863416194915771,SAME PITCH
53.0,10.473676443099976,0.15880781,0.022059917449951172,1.0561752319335938,SAME PITCH
53.0,10.50344181060791,0.14871387,0.02976536750793457,0.9364392757415771,SAME PITCH
53.0,10.52342939376831,0.16920748,0.01998758316040039,1.137805700302124,SAME PITCH
53.0,10.543420314788818,0.17215973,0.019990921020507812,1.0174474716186523,SAME PITCH
53.0,10.57340383529663,0.17852405,0.0299835205078125,1.0369675159454346,SAME PITCH
53.0,10.591405391693115,0.17469576,0.018001556396484375,0.9785559177398682,SAME PITCH
53.0,10.611319541931152,0.16664238,0.01991415023803711,0.9539005756378174,SAME PITCH
53.0,10.641300439834595,0.15730168,0.029980897903442383,0.9439476132392883,SAME PITCH
53.0,10.66128945350647,0.15618715,0.019989013671875,0.9929146766662598,SAME PITCH
53.0,10.681297063827515,0.15148622,0.020007610321044922,0.9699019193649292,SAME PITCH
53.0,10.711275815963745,0.15240413,0.02997875213623047,1.0060594081878662,SAME PITCH
53.0,10.726266384124756,0.14953752,0.014990568161010742,0.9811907410621643,SAME PITCH
53.0,10.75400161743164,0.15378796,0.027735233306884766,1.0284239053726196,SAME PITCH
53.0,10.781177043914795,0.15920983,0.027175426483154297,1.0352555513381958,SAME PITCH
53.0,10.801156759262085,0.15816358,0.01997971534729004,0.9934284687042236,SAME PITCH
53.0,10.821176767349243,0.16904432,0.020020008087158203,1.0687942504882812,SAME PITCH
53.0,10.85112977027893,0.17110255,0.0299530029296875,1.0121756792068481,SAME PITCH
53.0,10.871119022369385,0.17684948,0.0199892520904541,1.0335876941680908,SAME PITCH
53.0,10.891120910644531,0.17270441,0.020001888275146484,0.9765616059303284,SAME PITCH
53.0,10.921101808547974,0.17449221,0.029980897903442383,1.0103517770767212,SAME PITCH
53.0,10.941128969192505,0.17876278,0.02002716064453125,1.0244742631912231,SAME PITCH
53.0,10.961079359054565,0.16614333,0.019950389862060547,0.9294067025184631,SAME PITCH
53.0,10.991572380065918,0.14121042,0.03049302101135254,0.8499313592910767,SAME PITCH
53.0,11.01156234741211,0.13600124,0.019989967346191406,0.9631105065345764,SAME PITCH
53.0,11.03154993057251,0.13763185,0.01998758316040039,1.0119895935058594,SAME PITCH
53.0,11.053386926651001,0.13923447,0.02183699607849121,1.0116442441940308,SAME PITCH
53.0,11.081254720687866,0.13967659,0.027867794036865234,1.0031753778457642,SAME PITCH
53.0,11.101233720779419,0.14319386,0.019979000091552734,1.025181531906128,SAME PITCH
53.0,11.121224164962769,0.14776315,0.01999044418334961,1.0319098234176636,SAME PITCH
