Pitch (MIDI),Time (s),Intensity,Tag
62.0,10.48792839050293,0.05486055,OK
62.0,10.507765531539917,0.059690863,OK
62.0,10.528341054916382,0.061597474,OK
62.0,10.55876088142395,0.05129426,OK
62.0,10.57803463935852,0.04124399,Suspicious
62.0,10.597713470458984,0.03893064,Suspicious
62.0,10.62902569770813,0.03624689,Suspicious
62.0,10.649015188217163,0.032198034,Suspicious
62.0,10.667827367782593,0.017907994,Suspicious
62.0,10.698194026947021,0.009110921,Suspicious
62.0,10.718437433242798,0.005268365,Suspicious
62.0,10.737760066986084,0.0034033984,Suspicious
60.0,11.067875623703003,0.058907337,OK
60.0,11.087971210479736,0.1313077,OK
60.0,11.108023166656494,0.13711727,OK
60.0,11.13599181175232,0.1384684,OK
60.0,11.158251523971558,0.14319654,OK
60.0,11.17847990989685,0.12626946,OK
60.0,11.208551168441772,0.117975436,OK
60.0,11.228232145309448,0.10446733,OK
60.0,11.248236179351807,0.08381904,OK
60.0,11.278334379196167,0.0684954,OK
60.0,11.298330545425415,0.059827365,OK
60.0,11.31821608543396,0.047197614,Suspicious
60.0,11.34867787361145,0.033346597,Suspicious
60.0,11.368326187133789,0.024778593,Suspicious
60.0,11.388514995574951,0.017334072,Suspicious
60.0,11.417957782745361,0.010465258,Suspicious
60.0,11.438132047653198,0.0051573403,Suspicious
57.0,11.788155794143677,0.0052103857,Suspicious
57.0,11.807881116867065,0.08271684,OK
57.0,11.830064296722412,0.109076925,OK
57.0,11.859563827514648,0.13238509,OK
57.0,11.87948226928711,0.12985803,OK
57.0,11.898168325424194,0.1298922,OK
57.0,11.928252696990967,0.116079755,OK
57.0,11.947748184204102,0.10587753,OK
57.0,11.968436241149902,0.09586792,OK
57.0,11.999344110488892,0.09000063,OK
57.0,12.01793360710144,0.080325335,OK
57.0,12.037919044494629,0.06883266,OK
57.0,12.068397521972656,0.057383034,OK
57.0,12.08919620513916,0.048219964,Suspicious
57.0,12.108909368515015,0.041355617,Suspicious
57.0,12.138583421707153,0.036964715,Suspicious
57.0,12.15829849243164,0.031874884,Suspicious
57.0,12.179865598678589,0.02679505,Suspicious
57.0,12.208387851715088,0.022844346,Suspicious
57.0,12.228024244308472,0.01960615,Suspicious
57.0,12.248040199279785,0.017295245,Suspicious
57.0,12.275688886642456,0.014871586,Suspicious
57.0,12.298158884048462,0.012518715,Suspicious
57.0,12.318344116210938,0.008864855,Suspicious
57.0,12.348448753356934,0.006171327,Suspicious
57.0,12.369657754898071,0.00401862,Suspicious
