Pitch (MIDI),Time (s),Intensity
60.0,3.0158307552337646,0.015552884
55.0,0.030414104461669922,0.20180975
55.0,0.022265195846557617,0.23895998
55.0,0.017746448516845703,0.22083795
55.0,0.029970645904541016,0.1922844
55.0,0.0201113224029541,0.15960255
55.0,0.019823789596557617,0.10594925
55.0,0.03038191795349121,0.07899261
55.0,0.019653797149658203,0.044186935
55.0,0.020006418228149414,0.02562658
55.0,0.029695987701416016,0.013525864
55.0,0.020674467086791992,0.0059526158
55.0,0.01924276351928711,0.0033110478
55.0,0.1699542999267578,0.0034016983
56.0,0.02073979377746582,0.12726912
55.0,0.016886472702026367,0.122777596
55.0,0.0332636833190918,0.09218781
55.0,0.019761085510253906,0.06754395
55.0,0.01965928077697754,0.056232907
55.0,0.02022552490234375,0.046185564
55.0,0.029982805252075195,0.035356693
55.0,0.019807100296020508,0.026594184
55.0,0.02048778533935547,0.02058626
55.0,0.02967357635498047,0.015393391
55.0,0.017240285873413086,0.011889572
55.0,0.022020816802978516,0.00928128
55.0,0.030445575714111328,0.006889722
55.0,0.02066779136657715,0.0051471875
55.0,0.019843339920043945,0.0043547275
55.0,0.03185319900512695,0.006990938
64.0,0.018289566040039062,0.22311419
64.0,0.019572734832763672,0.31486708
64.0,0.030536413192749023,0.29757982
64.0,0.02000260353088379,0.30863786
64.0,0.017243385314941406,0.31199607
64.0,0.03258848190307617,0.3022096
64.0,0.019252538681030273,0.30950966
64.0,0.020739316940307617,0.32000574
64.0,0.02992105484008789,0.3144866
64.0,0.01976799964904785,0.31965396
64.0,0.01971578598022461,0.29478943
64.0,0.030107975006103516,0.27133927
64.0,0.019995689392089844,0.24127407
64.0,0.019993305206298828,0.21955206
64.0,0.0304257869720459,0.21171586
64.0,0.020082712173461914,0.17080641
64.0,0.019513607025146484,0.15594092
64.0,0.01957535743713379,0.12790523
64.0,0.03043389320373535,0.12399259
64.0,0.01999044418334961,0.10210041
64.0,0.020073890686035156,0.08944827
64.0,0.03147077560424805,0.06831286
64.0,0.016415834426879883,0.03568022
64.0,0.02214837074279785,0.019067433
45.0,0.030094623565673828,0.010204874
45.0,0.020014286041259766,0.007771009
45.0,0.019613027572631836,0.0065391273
45.0,0.03064107894897461,0.0052909674
69.0,0.019693374633789062,0.004199449
43.0,0.01999831199645996,0.003533756
81.0,0.029588699340820312,0.003297748
81.0,0.09018230438232422,0.025959143
60.0,0.02006673812866211,0.054717064
60.0,0.03252410888671875,0.047719393
60.0,0.017537593841552734,0.039732683
60.0,0.020386457443237305,0.03189533
60.0,0.029459238052368164,0.02524043
60.0,0.020565271377563477,0.02318911
60.0,0.019726037979125977,0.021811934
60.0,0.030403852462768555,0.018306011
60.0,0.01999950408935547,0.016152002
60.0,0.01998615264892578,0.013659293
60.0,0.029150009155273438,0.0103790555
60.0,0.020240306854248047,0.007997961
60.0,0.02029275894165039,0.006358629
60.0,0.01956653594970703,0.0047505824
60.0,0.03284001350402832,0.0038447462
55.0,0.10705113410949707,0.11394258
55.0,0.0306704044342041,0.18586569
55.0,0.020041942596435547,0.13542259
55.0,0.016986608505249023,0.10351109
55.0,0.03246808052062988,0.077819884
55.0,0.020702123641967773,0.056159064
55.0,0.019998788833618164,0.046713363
55.0,0.03167986869812012,0.03360158
55.0,0.018197298049926758,0.022481129
55.0,0.01982712745666504,0.016035022
55.0,0.030113935470581055,0.011019933
55.0,0.019406795501708984,0.0072395722
55.0,0.020655155181884766,0.0059372396
55.0,0.02944326400756836,0.004662483
55.0,0.02020406723022461,0.0033741596
55.0,1.0398797988891602,0.12370014
55.0,0.030318498611450195,0.21845362
55.0,0.020243167877197266,0.16730087
55.0,0.020018815994262695,0.1100684
55.0,0.029747962951660156,0.03851305
55.0,0.019509315490722656,0.021814378
55.0,0.02067422866821289,0.017805072
55.0,0.029596567153930664,0.015839756
55.0,0.022089242935180664,0.008815903
55.0,0.020233869552612305,0.0036394182
55.0,0.27781200408935547,0.065789744
55.0,0.019948959350585938,0.079741254
55.0,0.029985427856445312,0.037592363
55.0,0.01943826675415039,0.022903679
55.0,0.01998424530029297,0.016993389
55.0,0.029982328414916992,0.013973211
55.0,0.0199887752532959,0.010444781
55.0,0.019989490509033203,0.006798302
55.0,0.029983997344970703,0.0048616473
55.0,0.017122745513916016,0.003994724
55.0,0.15995144844055176,0.028396364
64.0,0.029948949813842773,0.2932116
64.0,0.019988536834716797,0.33236173
64.0,0.020026683807373047,0.32412487
64.0,0.029982805252075195,0.3220399
64.0,0.019953012466430664,0.33207583
64.0,0.020025014877319336,0.31856912
64.0,0.02994537353515625,0.31199533
64.0,0.019989967346191406,0.31822988
64.0,0.0199887752532959,0.33199897
64.0,0.030022859573364258,0.3331418
64.0,0.019951343536376953,0.32619178
64.0,0.019988536834716797,0.30727944
64.0,0.03498363494873047,0.29439822
64.0,0.015027761459350586,0.27255696
64.0,0.019994258880615234,0.25524306
64.0,0.019983768463134766,0.24277033
64.0,0.0299832820892334,0.19295308
64.0,0.019991159439086914,0.22953047
63.0,0.019989013671875,0.18173034
63.0,0.02998185157775879,0.18479975
63.0,0.019952058792114258,0.1225254
63.0,0.02499079704284668,0.10070764
63.0,0.024985074996948242,0.06313457
62.0,0.020023345947265625,0.037539262
