Pitch (MIDI),Time (s),Intensity
66.0,3.63443922996521,0.0041094515
55.0,0.08832788467407227,0.005871773
55.0,0.8213157653808594,0.052825566
55.0,0.019985437393188477,0.057039913
55.0,0.020077943801879883,0.06908723
43.0,0.03001713752746582,0.08679594
43.0,0.0199892520904541,0.09018964
43.0,0.020006656646728516,0.088327974
43.0,0.031800031661987305,0.082001746
43.0,0.018279314041137695,0.07758738
43.0,0.02009749412536621,0.07495597
43.0,0.029946088790893555,0.06887425
43.0,0.019989728927612305,0.06033662
43.0,0.020072460174560547,0.063168995
43.0,0.03005528450012207,0.061886095
43.0,0.019982337951660156,0.055288292
43.0,0.0149993896484375,0.04960344
43.0,0.034957170486450195,0.09523744
78.0,0.020715951919555664,0.101891235
43.0,0.016637325286865234,0.10654016
43.0,0.030247926712036133,0.11227273
49.0,0.023813247680664062,0.109058954
49.0,0.018955707550048828,0.11345164
49.0,0.03127646446228027,0.11630255
49.0,0.015021800994873047,0.117377535
49.0,0.02355790138244629,0.11756723
49.0,0.031630516052246094,0.11921181
43.0,0.020267009735107422,0.1144296
43.0,0.0199887752532959,0.10793385
43.0,0.029990196228027344,0.09430691
43.0,0.018294334411621094,0.091709554
43.0,0.020053386688232422,0.07780217
43.0,0.020853281021118164,0.109338306
43.0,0.02998208999633789,0.11559188
52.0,0.015120267868041992,0.111390375
52.0,0.025440692901611328,0.110132575
52.0,0.03002452850341797,0.11119539
52.0,0.019980669021606445,0.11406586
52.0,0.019988059997558594,0.118469045
52.0,0.025539636611938477,0.116093986
52.0,0.019922733306884766,0.116531916
52.0,0.02001476287841797,0.11226225
52.0,0.030217885971069336,0.11618481
52.0,0.02288341522216797,0.11412993
52.0,0.02108621597290039,0.10937629
52.0,0.029949665069580078,0.112831295
52.0,0.0200347900390625,0.090914935
52.0,0.019979238510131836,0.08907707
52.0,0.029950618743896484,0.100676864
50.0,0.020023584365844727,0.09131307
50.0,0.015691041946411133,0.09715308
50.0,0.0299837589263916,0.089940995
50.0,0.02028036117553711,0.10334996
50.0,0.022983074188232422,0.10236822
50.0,0.029990434646606445,0.106150344
50.0,0.021845340728759766,0.10730354
50.0,0.015522480010986328,0.110783435
50.0,0.03398919105529785,0.1151913
50.0,0.01372385025024414,0.111034
50.0,0.023514986038208008,0.10803617
50.0,0.01976752281188965,0.10074686
50.0,0.033509016036987305,0.09276086
50.0,0.014992237091064453,0.091783956
50.0,0.020214319229125977,0.09939172
48.0,0.03023076057434082,0.09470036
48.0,0.020673513412475586,0.097614974
48.0,0.019970417022705078,0.09795473
48.0,0.029998064041137695,0.09941997
48.0,0.01999211311340332,0.101883344
48.0,0.01998591423034668,0.10111906
48.0,0.030150651931762695,0.10188101
48.0,0.0199892520904541,0.10195987
48.0,0.019994735717773438,0.10143322
48.0,0.030166149139404297,0.10537321
48.0,0.020137310028076172,0.10723615
48.0,0.019980192184448242,0.10514444
48.0,0.029775381088256836,0.10127621
48.0,0.020206451416015625,0.09311352
48.0,0.020196199417114258,0.108710654
43.0,0.032867431640625,0.1108231
43.0,0.019988536834716797,0.10910854
49.0,0.014993429183959961,0.109457284
49.0,0.035401344299316406,0.10760916
49.0,0.015018224716186523,0.11523729
49.0,0.020158767700195312,0.11013591
49.0,0.03479337692260742,0.108411774
49.0,0.017142772674560547,0.11566074
49.0,0.02016925811767578,0.115565576
43.0,0.03000354766845703,0.11682844
43.0,0.019981861114501953,0.11890894
43.0,0.019989013671875,0.10984768
43.0,0.02034163475036621,0.09858993
43.0,0.02997565269470215,0.09180127
43.0,0.019984006881713867,0.0903492
43.0,0.019808053970336914,0.08338366
43.0,0.030413389205932617,0.030807303
43.0,0.017631053924560547,0.0261343
43.0,0.01997995376586914,0.023668475
43.0,0.034197092056274414,0.018144619
43.0,0.018608570098876953,0.021551337
43.0,0.02135920524597168,0.01714343
43.0,0.029985904693603516,0.015750645
